"","X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","agecat","incomecat"
"71142",73833,0,0.061897937,63,0,0.392168323,6843,4,0,2,0,0,"middle","middle rich"
"105749",109748,0,0.176540063,66,1,1.462998102,1580,23,0,1,0,0,"middle","poor"
"4777",4966,0,1.178928247,40,2,0.096074128,4100,5,0,0,1,2,"young","middle"
"86028",89281,0,0,63,0,0.205471094,19666,12,0,2,0,0,"middle","rich"
"51692",53672,0,0.81667964,64,1,0.449318835,8000,13,0,1,0,0,"middle","rich"
"134487",139512,0,0.139644638,45,0,0.205117287,25833,8,0,2,0,4,"middle","rich"
"143332",148702,0,0.031162428,38,0,0.217618749,9557,7,0,1,0,1,"young","rich"
"51056",53015,0,0,73,0,0,5200,1,0,0,0,1,"middle","middle"
"94938",98531,0,0.019159234,47,0,0.427747886,2601,7,0,2,0,3,"middle","poor"
"112557",116773,0,0.029074273,87,0,0.019102896,97000,5,0,1,0,0,"elder","rich"
"103498",107423,0,0.098980361,39,0,0.458569807,6166,8,0,2,0,1,"young","middle rich"
"103971",107913,0,0.040382558,39,0,0.42251107,7000,13,0,1,0,0,"young","middle rich"
"7450",7737,0,0.132194487,37,0,1.012378595,5250,15,0,3,0,2,"young","middle"
"88525",91864,1,0,66,2,0.230628229,6000,3,0,1,0,0,"middle","middle rich"
"116971",121366,0,0,70,0,13,5400,3,0,0,0,0,"middle","middle"
"51136",53100,0,0.009479621,70,0,0.002544529,2750,2,0,0,0,0,"middle","poor"
"75900",78778,1,0.132431735,34,0,3866,5400,10,0,2,0,1,"young","middle"
"42363",43975,0,0.258859291,41,0,0.365340349,3040,7,0,0,0,2,"young","poor"
"106158",110166,0,0.084765243,51,0,0.173956511,4000,7,0,1,0,0,"middle","middle"
"43489",45135,0,0.008495752,24,0,0,1,3,0,0,0,0,"young","poor"
"42578",44196,0,0.023569745,52,0,0.056616195,6075,2,0,0,0,2,"middle","middle rich"
"13094",13605,0,0.141063583,47,0,0.101710212,22160,6,0,1,0,0,"middle","rich"
"49579",51479,1,0.9999999,32,0,0.146370726,5000,2,2,0,0,0,"young","middle"
"78133",81086,0,0.550898204,23,0,8,5400,1,0,0,0,0,"young","middle"
"142366",147699,0,0.946727938,31,0,0.725709716,2500,8,0,0,0,0,"young","poor"
"19537",20281,0,0.005900635,57,0,0.469911337,5300,10,0,2,0,1,"middle","middle"
"74503",77323,0,0.028655571,61,0,0.217189141,6666,9,0,1,0,0,"middle","middle rich"
"87722",91029,0,0.058577193,71,0,5663,5400,7,0,2,0,1,"middle","middle"
"89691",93099,0,0.014486806,59,0,809,5400,7,0,1,0,0,"middle","middle"
"133307",138300,0,0.346610558,54,1,1725,5400,6,0,1,0,0,"middle","middle"
"53949",55986,0,0.057415951,80,0,0.019245189,4000,5,0,0,0,1,"elder","middle"
"20085",20853,0,0.564624614,37,0,0.20189905,2000,5,0,0,0,1,"young","poor"
"21690",22522,0,0.009488359,30,0,0.051498847,1300,8,0,0,1,0,"young","poor"
"60837",63146,0,0.831721768,64,2,0.846412287,12500,11,0,3,0,3,"middle","rich"
"143052",148408,0,0.255793283,42,2,0.916517377,2790,10,0,1,1,0,"young","poor"
"7401",7685,0,0.036808792,54,0,0.038531443,2750,13,0,0,0,1,"middle","poor"
"95950",99581,0,0.221785214,67,0,701,5400,6,0,1,0,0,"middle","middle"
"7157",7433,0,0.185918086,51,0,0.225177305,7331,17,0,1,0,0,"middle","middle rich"
"131357",136273,0,0.029464949,56,0,0.375937344,6000,11,0,1,0,0,"middle","middle rich"
"132316",137267,0,0,67,0,0.300304216,2300,5,0,1,0,0,"middle","poor"
"3303",3433,0,0.045607704,36,0,0.431097638,7916,11,0,2,0,0,"young","rich"
"129601",134453,0,0.9999999,42,0,0.229954911,5100,5,0,1,0,2,"young","middle"
"47490",49301,0,0.9999999,54,0,0.054625829,3166,7,1,0,0,1,"middle","poor"
"25879",26871,0,0.14713217,27,0,0.368948247,2994,4,0,1,0,1,"young","poor"
"70274",72926,0,0.167542586,39,1,0.041406118,5916,3,0,0,0,0,"young","middle rich"
"39330",40828,0,0.174159327,44,0,0.227477252,10000,7,0,1,0,2,"young","rich"
"79420",82421,0,0.151113955,49,0,0.526694661,5000,6,0,1,0,0,"middle","middle"
"17157",17812,0,0.022646007,47,0,0.231442139,4000,6,0,0,0,4,"middle","middle"
"36923",38330,0,0.028691204,80,0,0.063574486,14250,5,0,1,0,0,"elder","rich"
"3082",3201,0,0.014462292,70,0,6852,5400,18,0,1,0,0,"middle","middle"
"11870",12338,0,0.019336746,75,0,1405,5400,19,0,1,0,0,"middle","middle"
"53673",55704,0,0.584827614,52,0,0.474975466,6113,6,0,1,0,1,"middle","middle rich"
"13015",13523,0,0.073302756,36,0,0.529433821,8000,6,0,3,0,0,"young","rich"
"25927",26921,0,0.00339983,25,0,0.634591961,820,9,0,0,0,0,"young","poor"
"141089",146376,0,0.105172311,30,0,1737,5400,3,0,1,0,0,"young","middle"
"35754",37112,0,0.354017944,52,1,0.400163094,8583,16,0,3,1,1,"middle","rich"
"2186",2275,0,0.691869991,50,0,1.082024842,4266,14,0,3,0,0,"middle","middle"
"97678",101370,0,0.023766336,37,0,0.39868869,7930,6,0,3,0,0,"young","rich"
"130550",135434,0,0.026483017,42,0,0.336710369,6711,20,0,2,0,2,"young","middle rich"
"134529",139556,0,0.214783821,31,0,0.092882515,7600,8,0,0,0,0,"young","rich"
"125484",130185,0,0.066170132,60,0,0.385885151,14296,7,0,3,0,1,"middle","rich"
"33591",34878,0,0.9999999,28,0,0.040959041,1000,0,1,0,0,0,"young","poor"
"81301",84368,1,0.9500998,24,0,0.03848076,2000,4,0,0,0,0,"young","poor"
"4396",4570,0,0.9999999,32,0,0.112087246,3300,1,1,0,0,2,"young","poor"
"8287",8609,0,0.99830017,64,0,0.26946701,5046,6,0,1,0,0,"middle","middle"
"121835",126402,0,0.018288482,35,0,0.167819348,12000,6,0,1,0,1,"young","rich"
"81309",84376,0,0.066402632,58,0,0.103669465,10600,10,0,2,0,1,"middle","rich"
"19741",20493,0,0,66,0,0,5400,4,0,0,0,0,"middle","middle"
"133617",138619,0,0.149683006,59,0,0.284807764,2678,7,0,0,0,1,"middle","poor"
"51325",53296,0,0.813113562,48,0,0.43917793,5400,5,0,1,0,0,"middle","middle"
"46719",48502,0,0.291387915,43,1,0.322119816,4339,6,0,1,0,2,"young","middle"
"22340",23193,0,0,72,0,0.283648658,13900,10,0,2,0,0,"middle","rich"
"110095",114225,0,0.074923691,49,0,0.09536459,7528,4,0,0,0,0,"middle","rich"
"7819",8122,0,0.9999999,67,0,0.07648088,4000,2,0,0,0,0,"middle","middle"
"86883",90162,0,0.137319491,50,0,0.114702634,17200,4,0,1,0,2,"middle","rich"
"83530",86695,0,0.208162894,67,0,574,5400,7,0,1,0,0,"middle","middle"
"10430",10844,0,0.02639868,58,0,0.27438347,4500,5,0,1,0,0,"middle","middle"
"41852",43445,0,1.028276772,53,0,1.00559888,5000,12,0,1,0,1,"middle","middle"
"24697",25645,0,0.134996625,33,0,2585,5400,10,0,2,0,0,"young","middle"
"107947",112003,0,0.241787886,57,0,0.164547922,7000,10,0,0,0,0,"middle","middle rich"
"9900",10295,0,1.021978022,50,1,0.0059988,5000,1,0,0,0,0,"middle","middle"
"15140",15720,0,0.221745736,57,0,0.319750068,11042,14,0,2,0,2,"middle","rich"
"60309",62599,0,0,44,0,0.255965871,7500,6,0,1,0,0,"young","middle rich"
"270",278,0,0,44,0,0.326383681,6666,4,0,2,0,1,"young","middle rich"
"36764",38167,0,0.049442918,84,0,0.00939812,5000,4,0,0,0,1,"elder","middle"
"58697",60920,1,1.028714267,24,1,249,5400,4,0,0,0,0,"young","middle"
"54835",56904,0,0.021592319,71,0,1324,5400,9,0,1,0,0,"middle","middle"
"143287",148656,0,0,58,1,0.533745983,8400,9,0,3,0,2,"middle","rich"
"129082",133918,0,0.190923444,48,0,0.321224415,5422,6,0,1,0,3,"middle","middle rich"
"34052",35360,0,0.117525136,51,0,1845.5,1,13,0,1,0,2,"middle","poor"
"82006",85111,0,0.9999999,61,0,1318,5400,4,0,1,0,0,"middle","middle"
"113618",117883,0,1.094211124,34,0,0.379469435,2600,7,0,0,0,0,"young","poor"
"16340",16964,0,0.9999999,82,0,0,5400,4,0,0,0,0,"elder","middle"
"95868",99495,0,0.259093264,56,0,0.543560058,3454,9,0,1,0,3,"middle","poor"
"88417",91753,0,0.226236545,63,0,0.775794172,3808,8,0,1,0,0,"middle","poor"
"28887",29987,0,0.051877359,53,1,0.055590256,1600,9,0,0,0,0,"middle","poor"
"138742",143929,0,0.177700804,64,0,0.475378788,1583,7,0,1,0,3,"middle","poor"
"83527",86692,0,0.018373756,79,0,0.132867133,3431,8,0,0,0,0,"elder","poor"
"105008",108981,0,0,54,0,1021,5400,7,0,1,0,0,"middle","middle"
"49665",51571,0,0.022416293,50,0,1906,5400,11,0,2,0,2,"middle","middle"
"58112",60308,0,0,65,0,0.128658089,15000,6,0,1,0,0,"middle","rich"
"23737",24653,0,0,29,0,0,5400,1,0,0,0,0,"young","middle"
"39979",41496,0,0.019046712,72,0,0.198933689,3000,6,0,1,0,0,"middle","poor"
"9861",10254,0,0.060201349,48,0,0.753810976,1311,5,0,1,0,1,"middle","poor"
"104319",108271,0,0.9999999,44,0,0,0,1,0,0,0,0,"young","poor"
"134773",139812,0,0.015306515,45,0,0.366654766,2800,5,0,1,0,3,"middle","poor"
"139784",145020,0,0.039474013,54,0,0.292718306,6893,5,0,1,0,3,"middle","middle rich"
"36945",38352,0,0.022917864,70,0,0.019417476,1750,7,0,0,0,0,"middle","poor"
"44655",46352,0,0,42,0,0.345734016,13466,16,0,3,0,1,"young","rich"
"103240",107156,0,0.001230706,70,0,0.003198721,2500,10,0,0,0,0,"middle","poor"
"45463",47196,0,0.809380965,35,0,0.506919528,3901,8,0,1,0,2,"young","middle"
"47248",49056,0,0.854304539,39,0,0.271511098,9866,10,0,0,0,2,"young","rich"
"82363",85480,0,0.070392961,60,0,838,5400,3,0,1,0,0,"middle","middle"
"36939",38346,0,0.696108658,63,2,0.321607132,16600,10,0,1,1,0,"middle","rich"
"108152",112224,0,0.482754377,59,0,0.457909232,8350,4,0,1,0,1,"middle","rich"
"53595",55624,0,0.285878301,54,0,286,5400,4,0,0,0,1,"middle","middle"
"79625",82634,0,0.068483007,64,0,0.549188259,9300,21,0,2,0,0,"middle","rich"
"91825",95307,0,0.134253114,38,0,0.495154592,6500,8,0,2,1,2,"young","middle rich"
"93888",97437,0,0.292423723,39,1,0.45877725,6100,9,1,3,1,1,"young","middle rich"
"97368",101049,0,0.478436179,61,0,0.119310531,3712,4,0,0,0,0,"middle","poor"
"5695",5911,0,0.548679206,48,0,0.199205448,3523,2,0,0,0,0,"middle","poor"
"44646",46343,1,0.660998955,46,5,0.44880536,16866,17,0,7,0,0,"middle","rich"
"70467",73129,1,0.9999999,38,0,0.18832467,2500,1,0,0,0,0,"young","poor"
"78411",81374,0,0.035769721,64,0,214,0,19,0,0,0,0,"middle","poor"
"65613",68090,0,0,73,0,1669,5400,5,0,1,0,0,"middle","middle"
"121747",126313,0,0.108492251,46,0,0.15570605,17866,7,0,2,0,2,"middle","rich"
"1737",1801,1,0.9999999,39,0,0.041420118,3041,2,1,0,0,3,"young","poor"
"75762",78639,0,0.031093753,76,0,0.008839779,5429,8,0,0,0,0,"elder","middle rich"
"32480",33726,0,0.9999999,62,1,0.135098622,3700,1,0,0,0,0,"middle","poor"
"57538",59709,0,0,48,0,0.357209447,6435,8,0,2,0,0,"middle","middle rich"
"140256",145512,0,0.60814601,61,3,0.154684096,17900,17,0,1,0,1,"middle","rich"
"74479",77297,0,0.266780018,44,0,0.177355153,6782,17,0,1,1,1,"young","middle rich"
"62306",64670,0,0.07790555,50,0,0.259956674,6000,3,0,1,0,1,"middle","middle rich"
"12168",12646,0,0.004540953,73,0,5,5400,3,0,0,0,0,"middle","middle"
"24624",25570,0,0.9999999,44,1,0.10956924,3458,1,2,0,1,3,"young","poor"
"101687",105554,1,0.0499002,30,0,0,2500,1,5,0,1,0,"young","poor"
"43032",44668,0,0,60,1,2555,5400,11,0,1,0,0,"middle","middle"
"92821",96338,1,1.153692615,32,2,0.172236504,2333,4,0,0,0,1,"young","poor"
"34279",35594,0,0.00563236,48,0,0.421511213,7000,10,0,1,0,1,"middle","middle rich"
"19344",20081,0,0.223835057,53,0,0.183881612,10000,11,0,1,0,0,"middle","rich"
"81718",84807,0,0.141662529,38,0,0.208537342,14500,13,0,1,0,0,"young","rich"
"117503",121915,0,0.454394693,27,0,2261,5400,5,0,0,0,0,"young","middle"
"21835",22674,0,0.118361438,56,1,0.026258423,10091,4,0,0,0,4,"middle","rich"
"64907",67359,0,0.035830825,71,0,1466,0,10,0,2,0,0,"middle","poor"
"68654",71236,0,0.639680008,37,0,0.391363948,2917,5,0,0,0,4,"young","poor"
"103716",107646,0,0.224445825,39,0,0.469076785,6693,10,0,1,0,2,"young","middle rich"
"71690",74403,0,0.983989664,38,1,0.484503099,5000,8,0,1,1,2,"young","middle"
"140415",145677,0,0.601446618,44,0,0.677516159,4331,11,0,1,0,0,"young","middle"
"120635",125153,0,0.146631137,66,0,0.275641026,4679,13,0,2,0,0,"middle","middle"
"54465",56524,0,0.027972028,26,0,0.059044049,3200,3,3,0,1,0,"young","poor"
"9122",9478,1,0.136994044,35,0,0.021668514,78500,4,0,1,0,2,"young","rich"
"18832",19548,0,0.221224532,67,0,2408,5400,16,0,1,0,2,"middle","middle"
"128201",132999,0,0.893401015,44,0,1.980707395,932,9,0,2,0,0,"young","poor"
"72560",75316,0,0.30409951,60,0,0.172755418,8074,5,0,0,0,0,"middle","rich"
"47391",49202,0,0.9999999,21,0,0,5400,0,0,0,0,0,"young","middle"
"123195",127817,1,0.9999999,63,0,0,5400,1,2,0,0,0,"middle","middle"
"64114",66542,0,0.015485272,63,0,97,5400,11,0,0,0,0,"middle","middle"
"63468",65871,0,0,52,0,1616,5400,5,0,1,0,0,"middle","middle"
"68870",71458,0,0.2218542,50,0,2837,5400,8,0,1,0,0,"middle","middle"
"135672",140742,0,0.025545088,60,0,0.194591417,1700,20,0,0,0,0,"middle","poor"
"106215",110224,0,0.011379801,35,0,0.28923046,9953,8,0,2,0,1,"young","rich"
"106449",110461,0,0.276649515,80,0,0.956468424,11416,8,0,4,0,0,"elder","rich"
"98480",102203,0,0.9999999,27,0,199,0,10,0,0,0,0,"young","poor"
"68323",70895,0,0.003399915,88,0,0.000963623,4150,3,0,0,0,0,"elder","middle"
"101688",105555,0,0.131249658,42,0,0.311537692,5000,9,0,0,0,0,"young","middle"
"78350",81311,0,0,39,0,0.273636274,10100,11,0,2,0,3,"young","rich"
"133099",138079,1,0.919848225,41,1,0.429281177,15900,11,0,2,0,3,"young","rich"
"22098",22944,0,0.136990867,74,0,61,5400,3,0,0,0,0,"middle","middle"
"116622",121001,0,0.048907727,62,0,860,5400,11,0,1,0,0,"middle","middle"
"19343",20080,0,0.436091559,44,0,0.475277823,12417,9,0,3,0,2,"young","rich"
"67119",69650,0,0.737262737,23,0,0.20952381,1679,4,0,0,0,0,"young","poor"
"93759",97305,0,0.034825871,35,0,0.030159268,2950,2,0,0,0,2,"young","poor"
"30636",31805,0,0.015359386,57,0,11,5400,1,0,0,0,0,"middle","middle"
"69005",71597,0,0.106895066,61,0,0.278289025,5867,15,0,1,0,0,"middle","middle rich"
"141651",146962,0,0.022495526,68,0,2522,5400,13,0,1,0,1,"middle","middle"
"44354",46044,0,0.006837071,64,0,724,5400,14,0,1,0,0,"middle","middle"
"117519",121931,0,0.266385439,25,0,0.113070351,5500,9,0,0,0,0,"young","middle rich"
"139651",144882,0,0.079688773,36,0,4049,5400,8,0,2,0,0,"young","middle"
"63762",66179,0,0.000826934,58,0,1,5400,8,0,0,0,0,"middle","middle"
"886",923,0,0.00069993,83,0,0,10500,4,0,0,0,0,"elder","rich"
"82783",85922,0,0.051533263,68,0,1689,5400,6,0,1,0,0,"middle","middle"
"61888",64233,0,0.378207264,39,1,0.465945581,5916,9,0,1,0,1,"young","middle rich"
"92290",95782,0,0.812182029,47,1,0.155207504,11300,8,0,0,1,0,"middle","rich"
"134930",139973,0,0,60,0,0,5400,2,0,0,0,0,"middle","middle"
"54726",56793,0,0.018577129,45,0,0.296778067,9993,10,0,2,0,1,"middle","rich"
"71599",74310,0,0.145258284,63,0,0.191011236,4983,9,0,0,0,0,"middle","middle"
"15705",16301,0,0.533906209,51,0,0.4019012,6416,15,0,0,0,0,"middle","middle rich"
"113126",117369,0,0.055021153,66,0,0.183871537,17000,11,0,1,0,0,"middle","rich"
"65759",68242,0,0.09225305,49,0,2260,5400,10,0,2,0,1,"middle","middle"
"108515",112599,0,0.784199893,62,0,3354,5400,12,0,2,1,0,"middle","middle"
"90302",93730,1,0.194532565,47,0,0.34343755,6300,11,0,2,0,1,"middle","middle rich"
"93592",97134,0,0.174435861,46,0,0.072940392,18000,10,0,1,0,1,"middle","rich"
"72925",75691,0,0.233164133,42,1,0.480500848,7666,11,0,2,0,0,"young","rich"
"84979",88201,1,1.001297796,53,1,1.241515255,5833,13,0,3,0,1,"middle","middle rich"
"117076",121475,0,0.068809556,56,0,1832,5400,16,0,1,0,1,"middle","middle"
"1610",1671,0,0.558873832,30,0,0.214595135,3000,9,0,0,0,0,"young","poor"
"119560",124045,0,0.013362125,46,0,0.248527941,9000,10,0,1,0,1,"middle","rich"
"133873",138883,0,0.168903125,29,0,0.35503717,3900,9,0,0,0,4,"young","middle"
"6792",7052,0,0.031851961,56,0,0.399307274,4041,9,0,1,0,1,"middle","middle"
"15776",16379,0,0.001103238,54,0,0.104079082,8800,13,0,1,0,0,"middle","rich"
"96545",100197,0,0.398759195,51,0,0.344448077,9176,20,0,2,0,3,"middle","rich"
"53452",55475,0,0.9999999,30,0,0.335626536,2034,1,0,0,0,0,"young","poor"
"131517",136439,0,0.012089616,87,0,0.00416551,3600,4,0,0,0,0,"elder","poor"
"107559",111602,0,0.828343313,36,1,0.611580765,11000,4,0,1,0,0,"young","rich"
"44154",45833,0,0.298278133,47,0,4005,5400,3,0,1,0,1,"middle","middle"
"11571",12026,0,0.9999999,26,0,0.020989505,2000,0,1,0,0,0,"young","poor"
"100939",104762,0,0.03939803,72,0,0.004332611,6000,4,0,0,0,1,"middle","middle rich"
"109179",113282,0,0.175052964,35,0,0.237680331,7000,15,0,1,0,0,"young","middle rich"
"84014",87202,0,0,53,0,0.189135144,6000,5,0,0,0,0,"middle","middle rich"
"25843",26832,1,0.644989717,33,2,0.208328432,8500,12,0,1,1,1,"young","rich"
"44581",46278,0,0.653869226,45,0,0.537492501,5000,3,0,1,0,0,"middle","middle"
"109251",113357,0,0.01994385,54,0,0.354712042,4583,34,0,3,0,3,"middle","middle"
"128430",133236,0,0.016094127,61,0,0.288020927,11085,8,0,1,0,2,"middle","rich"
"96200",99841,0,0,56,0,0.738840773,1500,3,0,1,0,1,"middle","poor"
"142187",147515,0,1.037524997,75,0,0.798539023,2600,7,1,0,0,0,"middle","poor"
"67399",69937,0,0,59,0,1.333333333,4916,6,0,3,0,1,"middle","middle"
